;//神器归属队伍(2为僵尸神器,3为人类神器),神器中文名,武器targetname,按钮targetname(如没有请留空),神器的冷却时间
Team,Name,WeaponName,ButtonName,Cooldown
int,string,string,string,int
3,护盾,item_barrier_wpn,item_barrier_btn,75
3,毒,item_bio_wpn,item_bio_btn,75
3,土墙,item_earth_wpn,item_earth_btn,75
3,电,item_electro_wpn,item_electro_btn,75
3,火,item_fire_wpn,item_fire_btn,75
3,黑洞,item_gravity_wpn,item_gravity_btn,75
3,奶,item_heal_wpn,item_heal_btn,75
3,冰,item_ice_wpn,item_ice_btn,75
3,复制,item_mimic_wpn,item_mimic_btn,75
3,终极,item_ultima_wpn,item_ultima_btn,-1
3,水,item_water_wpn,item_water_btn,75
3,风,item_wind_wpn,item_wind_btn,75
