;//神器归属队伍(2为僵尸神器,3为人类神器),神器中文名,武器targetname,按钮targetname(如没有请留空),神器的冷却时间
Team,Name,WeaponName,ButtonName,Cooldown
int,string,string,string,int
3,补给,Weapon_Berserk,Item_Berserk_Button,50
3,奶,Weapon_Heal,Item_Heal_Button,55
3,黑洞,Weapon_Darkaga,Item_Darkaga_Button,55
3,冰,Weapon_Blizzard,Item_Blizzard_Button,55
3,风,Weapon_Wind,Item_Wind_Button,55
3,火,Weapon_Fire,Item_Fire_Button,55
3,电,Weapon_Electro,Item_Electro_Button,55
3,陆行鸟,Chocobo_Human_W,,
2,黑洞,Weapon_Z_Darkaga,Item_Z_Darkaga_Button,60
2,火,Weapon_Z_Fire,Item_Z_Fire_Button,60
2,奶,Weapon_Z_Heal,Item_Z_Heal_Button,60
2,秒杀,Weapon_Z_Warp,Item_Z_Warp_Button,60
2,陆行鸟,Chocobo_Z_Knife,,
