;//神器归属队伍(2为僵尸神器,3为人类神器),神器中文名,武器targetname,按钮targetname(如没有请留空),神器的冷却时间
Team,Name,WeaponName,ButtonName,Cooldown
int,string,string,string,int
3,草墙,Item_Earth_Pistol,Item_Earth_Button,45
3,水,Item_Water_Pistol,Item_Water_Button,60
3,黑洞,Item_Gravity_Pistol,Item_Gravity_Button,45
3,风,Item_Wind_Pistol,Item_Wind_Button,45
3,冰,Item_Ice_Pistol,Item_Ice_Button,60
3,地雷,Item_Mines_Pistol,Item_Mines_Button,3
3,奶,Item_Heal_Pistol,Item_Heal_Button,45
3,弹药,Item_Ammo_Pistol,Item_Ammo_Button,45
3,钥匙,Item_Key_Pistol,,
3,火,Item_Fire_Pistol,Item_Fire_Button,60
3,电,Item_Electro_Pistol,Item_Electro_Button,60
3,喷水,Item_Squirtle_Pistol,Item_Squirtle_Button,60
3,草,Item_Bulbasaur_Pistol,Item_Bulbasaur_Button,60
3,火,Item_Charmander_Pistol,Item_Charmander_Button,60
3,电,Item_Pikachu_Pistol,Item_Pikachu_Button,60
3,百变怪,Item_Ditto_Pistol,Item_Ditto_Button,60
3,皮卡丘,Item_Shiny_Pistol,,
2,黑洞,Item_Ghastly_Knife,Item_Ghastly_Button,75
