;//神器归属队伍(2为僵尸神器,3为人类神器),神器中文名,武器targetname,按钮targetname(如没有请留空),神器的冷却时间
Team,Name,WeaponName,ButtonName,Cooldown
int,string,string,string,int
3,终极,Item_Ultima_Pistol,Item_Ultima_Button,75
3,弹药,Item_Ammo_Pistol,Item_Ammo_Button,45
3,奶,Item_Heal_Pistol,Item_Heal_Button,45
3,地雷,Item_Mines_Pistol,Item_Mines_Button,3
3,草墙,Item_Earth_Pistol,Item_Earth_Button,45
3,钥匙,Item_Key_Pistol,,
3,火,Item_Fire_Pistol,Item_Fire_Button,45
3,黑洞,Item_Gravity_Pistol,Item_Gravity_Button,45
3,风,Item_Wind_Pistol,Item_Wind_Button,45
3,冰,Item_Ice_Pistol,Item_Ice_Button,60
3,齿轮,Item_Rot_Pistol,,
